moniker,validator_url_,network,peer_id,block_height,syncing?,voting_power
Aldebaranode,http://193.34.212.192:26657,iliad-0,4288f128242ccab26a4328c2e162a3edcd969e50,1580285,False,41525000
testnet-validator-2,http://3.222.216.118:26657,iliad-0,359e4420e63db005d8e39c490ad1c1c329a68df3,1580273,False,10010575491
testnet-validator-5,http://63.35.134.129:26657,iliad-0,f4d96bf0dc67a05a48287ca2c821bc8e1d2b2023,1580246,False,10004449826
prostitka,http://94.141.160.58:26657,iliad-0,bb94d68aac7eb55f64235abfe5799c6042f1fad9,1580278,False,42175000
testnet-validator-1,http://44.223.234.211:26657,iliad-0,960278d079a111b44c207dca7c2ffac640b477d1,1580337,False,10143547936
testnet-validator-6,http://3.248.113.42:26657,iliad-0,371ee318d105b0239b3997c287068ccbbcd46a91,1580335,False,10007319425
testnet-validator-7,http://3.1.137.11:26657,iliad-0,0b512c9a4421c0259813aaa05c865f82365fa7c0,1580342,False,10040399302
testnet-validator-8,http://52.74.117.64:26657,iliad-0,15c7e2b630c04ee11b2c3cfbfb1ede0379df9407,1580314,False,10006427240
crpvjtif2b1uqepj3qrg,http://141.98.217.86:26657,iliad-0,be00a9c3fd1d33e52cc89595c62b1b714cdf1f32,1580353,False,101292460
TrustedPoint,http://207.188.6.109:26037,iliad-0,cc4dee220372ab3bf22bc9a91c385f16b724917a,1580273,False,53222000
